t_s,pdf_exponencial
0.0,10.5
0.010101010101010102,9.443386461001444
0.020202020202020204,8.493099795411942
0.030303030303030304,7.638440344754978
0.04040404040404041,6.869785155697749
0.05050505050505051,6.1784796313623636
0.06060606060606061,5.556740085750528
0.07070707070707072,4.9975661041029085
0.08080808080808081,4.494661722423347
0.09090909090909091,4.042364538696578
0.10101010101010102,3.6355819576342485
0.11111111111111112,3.269733851103276
0.12121212121212122,2.9407009886273134
0.13131313131313133,2.6447786573196885
0.14141414141414144,2.3786349490360306
0.15151515151515152,2.1392732450849254
0.16161616161616163,1.923998476096915
0.17171717171717174,1.7303867771581922
0.18181818181818182,1.5562581965439617
0.19191919191919193,1.399652150768169
0.20202020202020204,1.2588053495881595
0.21212121212121213,1.1321319424130492
0.22222222222222224,1.018205662576253
0.23232323232323235,0.9157437684273899
0.24242424242424243,0.823592600429872
0.25252525252525254,0.7407145916457546
0.26262626262626265,0.666176585353689
0.27272727272727276,0.599139328263352
0.2828282828282829,0.5388480210262514
0.29292929292929293,0.48462381964730733
0.30303030303030304,0.4358561921082082
0.31313131313131315,0.3919960441426951
0.32323232323232326,0.35254953676411926
0.33333333333333337,0.3170725259343441
0.3434343434343435,0.2851655617679919
0.3535353535353536,0.2564693909660691
0.36363636363636365,0.23066091183907272
0.37373737373737376,0.2074495363755569
0.38383838383838387,0.1865739183952344
0.393939393939394,0.16779901094757563
0.4040404040404041,0.15091341982397793
0.4141414141414142,0.13572702338563616
0.42424242424242425,0.12206883190780415
0.43434343434343436,0.10978506233794472
0.4444444444444445,0.09873740679069966
0.4545454545454546,0.08880147528396999
0.4646464646464647,0.07986539518224735
0.4747474747474748,0.07182855157776802
0.48484848484848486,0.06460045442693704
0.494949494949495,0.05809971968665503
0.5050505050505051,0.0522531529787559
0.5151515151515152,0.04699492546516387
0.5252525252525253,0.042265832654619126
0.5353535353535354,0.038012627795579346
0.5454545454545455,0.03418742234970103
0.5555555555555556,0.030747146795590954
0.5656565656565657,0.02765306569180071
0.5757575757575758,0.024870341538965193
0.5858585858585859,0.022367642530432937
0.595959595959596,0.02011678977489623
0.6060606060606061,0.01809244001895879
0.6161616161616162,0.016271800297287246
0.6262626262626263,0.014634371297478263
0.6363636363636365,0.01316171655008327
0.6464646464646465,0.01183725484500905
0.6565656565656566,0.010646073537026875
0.6666666666666667,0.009574760638322412
0.6767676767676768,0.0086112538075489
0.686868686868687,0.007744704535090895
0.696969696969697,0.0069653559953460845
0.7070707070707072,0.0062644331907148925
0.7171717171717172,0.00563404415038525
0.7272727272727273,0.005067091071469761
0.7373737373737375,0.0045571904019979835
0.7474747474747475,0.004098600965946049
0.7575757575757577,0.003686159321034506
0.7676767676767677,0.0033152216214620547
0.7777777777777778,0.0029816113309841944
0.787878787878788,0.0026815721976175813
0.797979797979798,0.0024117259604933116
0.8080808080808082,0.0021690343126636396
0.8181818181818182,0.0019507646915862284
0.8282828282828284,0.0017544595121071452
0.8383838383838385,0.0015779084955245548
0.8484848484848485,0.0014191237831748331
0.8585858585858587,0.0012763175543350834
0.8686868686868687,0.0011478818964329913
0.8787878787878789,0.0010323707009146626
0.888888888888889,0.0009284833809287716
0.8989898989898991,0.0008350502274978665
0.9090909090909092,0.0007510192392961461
0.9191919191919192,0.0006754442777448412
0.9292929292929294,0.0006074744140587178
0.9393939393939394,0.0005463443482977985
0.9494949494949496,0.0004913657925485792
0.9595959595959597,0.00044191972121452374
0.9696969696969697,0.0003974494011587399
0.9797979797979799,0.00035745412322243534
0.98989898989899,0.0003214835645397991
1.0,0.00028913271817234516
